macs,status,cliente,data,origem,lote_recebimento,lote_treevia
fgdfgsdf,Cliente,ELKS Engenharia Florestal e Ambiental Ltda,2024-10-28,,,
teste,Cliente,ELKS Engenharia Florestal e Ambiental Ltda,2024-10-28,,,
teste,Remanufatura,,2024-10-28,,,
teste,Cliente,Aldeir Testes Corporation,2024-10-28,,,
C00C1D001443,Estoque,,2024-10-30,Fornecedor,teste,
C00C1D0015B4,Estoque,,2024-10-30,Fornecedor,teste,
C00C1D0009FD,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D000779,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0004EB,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D00163E,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D001298,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0015D6,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D00136A,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0013FC,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0010AF,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D00053B,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D001116,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D000988,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0015A5,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D000581,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0012A8,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D00075C,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D001132,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D001373,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D00114A,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D001585,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D000975,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D000958,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D001E44,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D0015B2,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D00163F,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
C00C1D000932,Estoque,,2024-10-30,Fornecedor,30620,2024-30620-A
